house_id,ukut_id,ИТП,Дата введения,Марка,система,точка расположения,номер прибора,Дата поверки,Дата очередной поверки,Повторный ввод,Год поверки,arshin,vri_id,org_title,mit_number,mit_title,mit_notation,mi_modification,mi_number,verification_date,valid_date,result_docnum,applicability,sticker_num
aleschenkova-1,aleschenkova-1-itp1,ИТП-1,27/11/2009,КАРАТ-2001-01,отопление,теплорегистратор,10300309,08/06/2023,07/06/2027,До 15.09.2025,поверка 2023,1,1-253933555,"ФБУ ""УРАЛТЕСТ""",30485-05,Теплорегистраторы,КАРАТ,КАРАТ 2001-01,10300309,08.06.2023,07.06.2027,С-СЕ/08-06-2023/253933555,true,
aleschenkova-1,aleschenkova-1-itp1,ИТП-1,27/11/2009,ПРЭМ-Д-50,отопление,Т-1,229450,01/07/2025,30/06/2029,До 15.09.2025,поверка 2025,1,1-445607510,ООО «ТЕСТПРОМ»,17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ 50,229450,01.07.2025,30.06.2029,С-ДШЮ/01-07-2025/445607510,true,
aleschenkova-1,aleschenkova-1-itp1,ИТП-1,27/11/2009,ПРЭМ-Д-50,отопление,Т-2,774951,01/07/2025,30/06/2029,До 15.09.2025,поверка 2025,1,1-445607509,ООО «ТЕСТПРОМ»,76327-19,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ 50,774951,01.07.2025,30.06.2029,С-ДШЮ/01-07-2025/445607509,true,
aleschenkova-1,aleschenkova-1-itp1,ИТП-1,27/11/2009,КТПТР-01-100,отопление,термопары,1342А/1342,01/07/2025,30/06/2029,До 15.09.2025,поверка 2025,1,1-445607508,ООО «ТЕСТПРОМ»,14638-05,Комплекты термометров (термопреобразователей) платиновых технических разностных,КТПТР,КТПТР-01,1342А/1342,01.07.2025,30.06.2029,С-ДШЮ/01-07-2025/445607508,true,
aleschenkova-1,aleschenkova-1-itp1,ИТП-1,27/11/2009,МФ 2.2.1-Б-25,гвс,Т-3,201026625,01/07/2025,30/06/2029,До 15.09.2025,поверка 2025,1,1-445607507,ООО «ТЕСТПРОМ»,31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МФ-2.2.1-Б-25,201026625,01.07.2025,30.06.2029,С-ДШЮ/01-07-2025/445607507,true,
aleschenkova-1,aleschenkova-1-itp1,ИТП-1,27/11/2009,МФ 5.2.1-Б-15,гвс,Т-4,201025665,01/07/2025,30/06/2029,До 15.09.2025,поверка 2025,1,1-445607506,ООО «ТЕСТПРОМ»,31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МФ-5.2.1-Б-15,201025665,01.07.2025,30.06.2029,С-ДШЮ/01-07-2025/445607506,true,
aleschenkova-1,aleschenkova-1-itp1,ИТП-1,27/11/2009,КТПТР-01-100,гвс,термопары,5706А/5706,01/07/2025,30/06/2029,До 15.09.2025,поверка 2025,1,1-445607505,ООО «ТЕСТПРОМ»,14638-05,Комплекты термометров (термопреобразователей) платиновых технических разностных,КТПТР,КТПТР-01,5706А/5706,01.07.2025,30.06.2029,С-ДШЮ/01-07-2025/445607505,true,
aleschenkova-2,aleschenkova-2-itp1,ИТП-1,15/09/2009,КАРАТ-2001-01,отопление,теплорегистратор,10150309,,08/06/2026,До 15.09.2025,поверка 2023,5,,,,,,,,,,,,
aleschenkova-2,aleschenkova-2-itp1,ИТП-1,15/09/2009,ПРЭМ-Д-50,отопление,Т-1,201746,,11/05/2029,До 15.09.2025,поверка 2025,1,1-431735999,"ООО ПП ""ТЕХНОЛОГИЯ""",17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ 50,201746,12.05.2025,11.05.2029,С-БУТ/12-05-2025/431735999,true,
aleschenkova-2,aleschenkova-2-itp1,ИТП-1,15/09/2009,ПРЭМ-Д-50,отопление,Т-2,213800,,11/05/2029,До 15.09.2025,поверка 2025,1,1-431736020,"ООО ПП ""ТЕХНОЛОГИЯ""",17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ 50,213800,12.05.2025,11.05.2029,С-БУТ/12-05-2025/431736020,true,
aleschenkova-2,aleschenkova-2-itp1,ИТП-1,15/09/2009,КТПТР-01-100,отопление,термопары,4003/4003а,,10/04/2029,До 15.09.2025,поверка 2025,1,1-424846498,"ООО ПП ""ТЕХНОЛОГИЯ""",14638-05,Комплекты термометров (термопреобразователей) платиновых технических разностных,КТПТР,КТПТР-01,4003/4003А,11.04.2025,10.04.2029,С-БУТ/11-04-2025/424846498,true,
aleschenkova-2,aleschenkova-2-itp1,ИТП-1,15/09/2009,МФ 5.2.2-Б-40,гвс,Т-3,040091216,,13/05/2029,До 15.09.2025,поверка 2025,1,1-432034915,"ООО ПП ""ТЕХНОЛОГИЯ""",31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МФ-5.2.2-Б-40,040091216,14.05.2025,13.05.2029,С-БУТ/14-05-2025/432034915,true,
aleschenkova-2,aleschenkova-2-itp1,ИТП-1,15/09/2009,МФ 2.2.2-Б-25,гвс,Т-4,025273516,,12/05/2029,До 15.09.2025,поверка 2025,1,1-431955806,"ООО ПП ""ТЕХНОЛОГИЯ""",31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МФ-5.2.2-Б-25,025273516,13.05.2025,12.05.2029,С-БУТ/13-05-2025/431955806,true,
